,Province/State,Lat,Long,Total,GDP
12,Hubei,30.97564,112.2707,11788,"10,054"
5,Guangdong,23.33841,113.422,642,"12,956"
11,Henan,33.88202,113.614,637,"7,561"
13,Hunan,27.61041,111.7088,634,"7,979"
30,Zhejiang,29.18251,120.0985,633,"14,803"
0,Anhui,31.82571,117.2264,474,"7,171"
16,Jiangxi,27.61401,115.7221,433,"7,148"
15,Jiangsu,32.97027,119.464,356,"17,381"
2,Chongqing,30.05718,107.874,299,"9,921"
22,Shandong,36.34377,118.1529,254,"11,502"
25,Sichuan,30.61714,102.7103,217,"7,370"
23,Shanghai,31.20327,121.4554,199,"20,375"
9,Hebei,38.0428,114.5149,169,"7,202"
1,Beijing,40.18238,116.4142,153,"21,269"
10,Heilongjiang,47.862,127.7622,136,"6,553"
3,Fujian,26.07783,117.9895,126,"13,729"
21,Shaanxi,35.19165,108.8701,118,"6,835"
6,Guangxi,23.82908,108.7881,90,"6,244"
8,Hainan,19.19673,109.7455,86,"7,815"
29,Yunnan,24.97411,101.4868,79,"5,595"
24,Shanxi,37.57769,112.2922,76,"6,835"
7,Guizhou,26.81536,106.8748,72,"6,215"
4,Gansu,36.0611,103.8343,71,"4,725"
26,Tianjin,39.29362,117.333,59,"18,226"
18,Liaoning,41.29284,122.6086,59,"8,776"
19,Ningxia,37.26923,106.1655,44,"8,137"
17,Jilin,43.66657,126.1917,43,"8,424"
28,Xinjiang,41.11981,85.17822,22,"7,413"
20,Qinghai,35.65945,96.02564,16,"7,178"
14,Inner Mongolia,44.09448,113.9456,16,"10,311"
27,Tibet,30.1534,88.7879,1,"6,505"
,Mainland China,,,,
