Province/State,Lat,Long,Total,Population
Hubei,30.97564,112.2707,11788,
Guangdong,23.33841,113.422,642,
Henan,33.882020000000004,113.614,637,
Hunan,27.61041,111.7088,634,
Zhejiang,29.18251,120.0985,633,
Anhui,31.82571,117.2264,474,
Jiangxi,27.61401,115.7221,433,
Jiangsu,32.97027,119.464,356,
Chongqing,30.05718,107.874,299,
Shandong,36.34377,118.1529,254,
Sichuan,30.617140000000006,102.7103,217,
Shanghai,31.20327,121.4554,199,
Hebei,38.0428,114.5149,169,
Beijing,40.18238,116.4142,153,
Heilongjiang,47.862,127.7622,136,
Fujian,26.07783,117.9895,126,
Shaanxi,35.19165,108.8701,118,
Guangxi,23.82908,108.7881,90,
Hainan,19.19673,109.7455,86,
Yunnan,24.97411,101.4868,79,
Shanxi,37.57769,112.2922,76,
Guizhou,26.81536,106.8748,72,
Gansu,36.0611,103.8343,71,
Tianjin,39.29362,117.333,59,
Liaoning,41.29284000000001,122.6086,59,
Ningxia,37.26923,106.1655,44,
Jilin,43.66657,126.1917,43,
Xinjiang,41.11981,85.17822,22,
Qinghai,35.65945,96.02564,16,
Inner Mongolia,44.09448,113.9456,16,
Tibet,30.1534,88.7879,1,
